TICKER,STATUS
0111145D,Acquired
0202445Q,Acquired
0203524D,Acquired
0226226D,Acquired
0544749D,Acquired
0848680D,Acquired
0872237D,Acquired
0910150D,Acquired
0948669D,Acquired
0961514D,Acquired
0964591D,Acquired
1028411Q,Acquired
1051665D,Acquired
1086832D,Acquired
1255173D,Acquired
1255177D,Acquired
1281683D,Acquired
1284849D,Acquired
1288652D,Acquired
1312089D,Acquired
1317355D,Acquired
140402Q,Acquired
1431816D,Acquired
1436513D,Acquired
1518855D,Unlisted
1519128D,Acquired
1621582D,Acquired
1627457D,Acquired
1649858D,Acquired
1683997D,Acquired
1684442D,Acquired
1697067D,Delisted
1704453D,Acquired
1715651D,Acquired
1719868D,Acquired
1727044D,Acquired
1746513D,Acquired
1752754D,Acquired
1778808D,Acquired
1789494D,Acquired
1799685D,Acquired
1822785D,Acquired
1825471D,Acquired
1837572D,Acquired
1916672D,Acquired
1920486D,Acquired
1922150D,Delisted
1972693D,Acquired
1996074D,Acquired
2258717D,Acquired
2269312Q,Acquired
228510Q,Acquired
2326248D,Acquired
236555Q,Acquired
253647Q,Acquired
2641504Q,Acquired
2676187Q,Acquired
2727195Q,Acquired
2731112Q,Acquired
285939Q,Acquired
291784Q,Acquired
2942331Q,Acquired
2953349Q,Acquired
2968900Q,Acquired
297504Q,Acquired
2999130Q,Acquired
300583Q,Acquired
301710Q,Acquired
3022239Q,Acquired
3026360Q,Acquired
3029830Q,Acquired
304024Q,Acquired
3075558Q,Acquired
3080867Q,Acquired
3133754Q,Acquired
3253Q,Acquired
3277Q,Acquired
3286728Q,Acquired
329556Q,Acquired
3301Q,Acquired
3346Q,Acquired
3393199Q,Acquired
3403545Q,Acquired
3423152Q,Acquired
3517233Q,Acquired
355488Q,Acquired
3605818Q,Acquired
3621240Q,Acquired
3692470Q,Acquired
41018Q,Acquired
45200Q,Acquired
502466Q,Acquired
544791Q,Acquired
571300Q,Acquired
605555Q,Acquired
653707Q,Acquired
667517Q,Acquired
677004Q,Acquired
680884Q,Acquired
68335Q,Acquired
723588Q,Acquired
739306Q,Acquired
748957Q,Acquired
8214761Q,Acquired
827663Q,Acquired
929530Q,Acquired
945852Q,Delisted
950967Q,Acquired
987200Q,Acquired
9876566D,Acquired
9990253D,Delisted
9995522D,Delisted
AA,Active
AAMRQ,Delisted
AAPL,Active
ABT,Active
ACKH,Liquidated
ADBE,Active
ADI,Active
ADM,Active
ADP,Active
ADSK,Active
AEE,Active
AEP,Active
AES,Active
AFL,Active
AFS,Acquired
AGN,Acquired
AIG,Active
ALL,Active
AMAT,Active
AMD,Active
AMGN,Active
ANDW,Acquired
AON,Active
APA,Active
APC,Acquired
APD,Active
ASH,Active
ATI,Active
AVP,Acquired
AVY,Active
AW,Acquired
AXP,Active
AZA,Acquired
AZO,Active
BA,Active
BAC,Active
BALL,Active
BAX,Active
BBBYQ,Delisted
BBWI,Active
BBY,Active
BC,Active
BCR,Acquired
BDK,Acquired
BDX,Active
BEN,Active
BF/B,Active
BGGSQ,Delisted
BHI,Delisted
BHMSQ,Delisted
BIG,Active
BK,Active
BLS,Acquired
BMC,Acquired
BMS,Acquired
BMY,Active
BNI,Acquired
BOL,Acquired
BSX,Active
C,Active
CAG,Active
CAH,Active
CAR,Active
CAT,Active
CBE,Acquired
CCEP,Active
CCK,Active
CCL,Active
CCTYQ,Delisted
CFC,Acquired
CGP,Acquired
CI,Active
CIN,Acquired
CINF,Active
CL,Active
CLX,Active
CMA,Active
CMCSK,Delisted
CMI,Active
CMS,Active
CMVT,Acquired
CNCEQ,Acquired
CNP,Active
COC,Acquired
COF,Active
COP,Active
COST,Active
CPB,Active
CPPRQ,Delisted
CSC,Acquired
CSCO,Active
CSX,Active
CTB,Acquired
CTXS,Acquired
CVS,Active
CVX,Active
D,Active
DALRQ,Delisted
DCNAQ,Delisted
DDS,Active
DE,Active
DHR,Active
DIS,Active
DJ,Acquired
DLX,Active
DOV,Active
DPHIQ,Delisted
DRI,Active
DTE,Active
DUK,Active
ECL,Active
ED,Active
EFX,Active
EHC,Active
EIX,Active
EKDKQ,Delisted
EMN,Active
EMR,Active
ENRNQ,Delisted
ETN,Active
ETR,Active
ETS,Acquired
EXC,Active
F,Active
FBF,Acquired
FCX,Active
FDX,Active
FE,Active
FITB,Active
FJ,Acquired
FLTWQ,Delisted
FMC,Active
FMCC,Inactive
FNMA,Inactive
FPC,Acquired
FWLT,Acquired
GAPTQ,Delisted
GBLXQ,Delisted
GD,Active
GDT,Acquired
GDW,Acquired
GE,Active
GIS,Active
GL,Active
GLW,Active
GOLD,Active
GPC,Active
GPS,Active
GPUI,Acquired
GR,Acquired
GRA,Acquired
GT,Active
GTW,Acquired
GWW,Active
HAL,Active
HAS,Active
HBAN,Active
HD,Active
HES,Active
HET,Acquired
HIG,Active
HM,Acquired
HNZ,Acquired
HON,Active
HPC,Acquired
HPQ,Active
HRB,Active
HSH,Acquired
HSY,Active
HUM,Active
IBM,Active
IFF,Active
IKN,Acquired
INCLF,Acquired
INTC,Active
IP,Active
IPG,Active
ITT,Active
ITW,Active
JCI,Active
JNJ,Active
JOSEA,Acquired
JPM,Active
JWN,Active
K,Active
KATE,Acquired
KBH,Active
KEY,Active
KLAC,Active
KMB,Active
KMRTQ,Delisted
KO,Active
KR,Active
KRB,Acquired
KRI,Acquired
KSS,Active
KSU,Acquired
L,Active
LDG,Acquired
LEG,Active
LEHMQ,Delisted
LLY,Active
LMT,Active
LNC,Active
LOW,Active
LPX,Active
LUMN,Active
LUV,Active
LXK,Acquired
M,Active
MAR,Active
MAS,Active
MAT,Active
MBI,Active
MCD,Active
MCK,Active
MCO,Active
MDP,Acquired
MDRIQ,Delisted
MDT,Active
MEE,Acquired
MEL,Acquired
MER,Acquired
MKG,Acquired
MMC,Active
MMM,Active
MO,Active
MOLX,Acquired
MRK,Active
MRO,Active
MS,Active
MSFT,Active
MSI,Active
MTG,Active
MTLQQ,Delisted
MU,Active
MZIAQ,Delisted
NAV,Acquired
NC,Active
NCC,Acquired
NCE,Acquired
NEE,Active
NEM,Active
NGH,Acquired
NKE,Active
NMK,Acquired
NOC,Active
NOVL,Acquired
NRTLQ,Delisted
NSC,Active
NTAP,Active
NTRS,Active
NUE,Active
NWL,Active
NXTL,Acquired
NYT,Active
OAT,Acquired
OI,Active
OK,Acquired
OKE,Active
OMC,Active
OMX,Acquired
ORCL,Inactive
OWENQ,Delisted
OXY,Active
PARA,Active
PAYX,Active
PBI,Active
PCAR,Active
PCG,Active
PCH,Active
PDG,Acquired
PEG,Active
PEP,Active
PFE,Active
PG,Active
PGL,Acquired
PGR,Active
PH,Active
PHM,Active
PNC,Active
PNW,Active
PPG,Active
PPL,Active
PRDCQ,Acquired
PTC,Active
PTV,Acquired
PVN,Acquired
QCOM,Active
QTRN,Acquired
R,Active
RADCQ,Active
RAL,Acquired
RBK,Acquired
RDC,Acquired
RDPL,Acquired
RIG,Active
RML,Acquired
RNB,Delisted
ROH,Acquired
ROK,Active
RRD,Acquired
RSHCQ,Delisted
RTN,Acquired
RTX,Active
RVTY,Active
RX,Acquired
SCHW,Active
SCI,Active
SEE,Active
SGID,Delisted
SGP,Acquired
SHW,Active
SIAL,Acquired
SLB,Active
SLM,Active
SNA,Active
SNV,Active
SO,Active
SPGI,Active
SPLS,Acquired
SRE,Active
STI,Acquired
STJ,Acquired
STT,Active
SVU,Acquired
SWK,Active
SWY,Acquired
SXCL,Acquired
SYY,Active
T,Active
TAP,Active
TEK,Acquired
TER,Active
TFC,Active
TGNA,Active
TGT,Active
THC,Active
TIN,Acquired
TJX,Active
TKR,Active
TLAB,Acquired
TMO,Active
TNB,Acquired
TOS,Acquired
TOY,Acquired
TRB,Acquired
TROW,Active
TRV,Active
TT,Active
TUP,Active
TWX,Acquired
TXN,Active
TXT,Active
TXU,Acquired
UAWGQ,Delisted
UCM,Acquired
UIS,Active
UMGI,Delisted
UN,Delisted
UNH,Active
UNM,Active
UNP,Active
USB,Active
USW,Acquired
VFC,Active
VMC,Active
VZ,Active
WAMUQ,Delisted
WBA,Active
WCOEQ,Acquired
WFC,Active
WHR,Active
WLA,Acquired
WM,Active
WMB,Active
WMT,Active
WNDXQ,Delisted
WOR,Inactive
WWY,Acquired
WY,Active
WYE,Acquired
X,Active
XEL,Active
XLNX,Acquired
XOM,Active
XRX,Active
YUM,Active
